categorie,official_name,branch,name,contact:phone,contact:website,contact:email,ref:FR:SIRET,longitude,latitude,address_txt,opening_hours,insee,id,osm_id
mairie,Mairie - Abbéville-la-Rivière,,Mairie d'Abbéville-la-Rivière,+33 1 64 95 67 37,http://www.abbevillelariviere.fr,mairie-abbeville-la-riviere@wanadoo.fr,21910001300016,2.167075,48.346043,1 place de la Mairie 91150 Abbéville-la-Rivière,Mo 15:00-19:00; Fr 15:00-19:00,91001,8971767f-e50c-4d58-9e69-94e7a489f49a,node/273434840
mairie,Mairie - Ableiges,,Mairie d'Ableiges,+33 1 34 66 01 12,http://www.ableiges.fr,mairie.ableiges95@wanadoo.fr,21950002200013,1.97908997536,49.0854988098,Rue Gilles-de-Maupeou 95450 Ableiges,"Mo 09:00-12:30,15:00-18:00; Tu-We 09:00-12:00; Fr 09:00-12:30,15:00-18:00",95002,55e63c96-f8a4-424c-a9fd-52ddf515b6ef,way/313057979
mairie,Mairie - Ablis,,Mairie d'Ablis,+33 1 30 46 06 06,http://www.ablis.fr,mairie@ablis.fr,21780003600014,1.83281004429,48.51720047,8 rue de la Mairie 78660 Ablis,"Mo 09:00-12:00,15:00-18:00; Tu 09:00-12:00,15:00-18:00; We 09:00-12:00; Th-Fr 09:00-12:00,15:00-18:00; Sa 09:00-12:00",78003,c761b3fb-1ca7-4d30-bea4-6c81f7dd8030,way/110159229
mairie,Mairie - Ablon-sur-Seine,,Mairie d'Ablon-sur-Seine,+33 1 49 61 33 33,http://www.ablon-sur-seine.fr,,21940001700014,2.421987,48.724895,16 rue du Maréchal-Foch 94480 Ablon-sur-Seine,"Mo-We 09:00-12:30,14:00-17:30; Th 14:00-19:00; Fr 09:00-12:30,14:00-17:30",94001,beb21c87-ed67-41f3-8712-e36621bebe4a,way/62496024
mairie,Mairie - Achères,,Mairie d'Achères,+33 1 39 79 64 00,http://www.mairie-acheres78.fr,sgcourrier@mairie-acheres78.fr,21780005100179,2.07027006149,48.9607009888,6-8 rue Deschamps-Guérin 78260 Achères,"Mo-Fr 08:30-12:00,13:30-17:45; Sa 09:00-12:30",78005,c4b18efd-8c40-4c17-9210-f87f7d105462,way/110338496
mairie,Mairie - Achères-la-Forêt,,Mairie d'Achères-la-Forêt,+33 1 64 24 40 11,https://www.achereslaforet.com/,acheres.la.foret@orange.fr,21770001200016,2.56274008751,48.3404006958,58 rue du Closeau 77760 Achères-la-Forêt,Mo 08:30-12:00; Fr 08:30-12:00; Sa 08:30-12:00,77001,9c18fa54-3f3c-4344-9edc-200e2d71ef0a,node/4758032221
mairie,Mairie - Acoua,,Mairie d'Acoua,+262 2 69 62 18 81,,secretariat@mairiedeacoua.fr,20000871200016,45.059041,-12.724234,10 rue Jules Ferry 97630 Acoua,"Mo-Th 07:00-12:00,13:00-16:00; Fr 07:00-11:30",97601,0e140e49-c437-465e-b369-3ad4f97cf599,node/6565538985
mairie,Mairie - Adainville,,Mairie d'Adainville,+33 1 34 87 03 24,http://www.mairie-adainville.fr,mairie@mairie-adainville.fr,21780006900015,1.6531324,48.7227709,1 Grande rue 78113 Adainville,Mo 14:00-17:00; Tu 14:00-19:00; Th 14:00-17:00; Fr 14:00-16:00; Sa 10:00-12:00,78006,53fba667-2eb9-406e-bd80-e578096a2019,node/11036387245
mairie,Mairie - Aigremont,,Mairie d'Aigremont,+33 1 39 65 38 16,http://www.mairie-aigremont-78.fr,accueil@aigremont-78.fr,21780007700018,2.0181036,48.9021181,5 place du Château 78240 Aigremont,Mo-We 08:30-12:00; Fr 08:30-12:00; Sa 09:30-12:00,78007,fd43ff31-1fd2-439e-b1dc-81ea35c8a4fe,way/103957731
mairie,Mairie - Aincourt,,Mairie d'Aincourt,+33 1 34 76 71 12,http://www.aincourt.fr,mairie.aincourt@orange.fr,21950008900012,1.77626001835,49.0718002319,4 rue d'Arthies 95510 Aincourt,"Th 09:00-12:00,16:00-19:00; Mo-We 09:00-12:00; Fr 09:00-12:00",95008,b01da037-e547-48a7-a1f2-a346d5e63f14,node/1590040632
mairie,Mairie - Alfortville,,Mairie d'Alfortville,+33 1 58 73 29 00,https://www.alfortville.fr/,courrier@mairie-alfortville.fr,21940002500017,2.4195177,48.8054058,Place François-Mitterrand 94142 Alfortville Cedex,"Mo 08:45-12:00,13:30-17:30; Tu 08:45-12:00; We-Fr 08:45-12:00,13:30-17:30",94002,58b12f16-8cc8-4a84-aa59-1c6521f82d24,way/62558983
mairie,Mairie - Allainville-aux-Bois,,Mairie d'Allainville-aux-Bois,+33 1 30 59 00 03,http://www.allainville-aux-bois.fr,mairie-dallainville2@wanadoo.fr,21780009300015,1.89673995972,48.4567985535,4 rue Michel-Chartier 78660 Allainville-aux-Bois,Tu 14:00-18:00; Th 14:00-18:00,78009,560f6020-e6c3-47c6-8f57-0abc83854072,node/1942720431
mairie,Mairie - Ambleville,,Mairie d'Ambleville,+33 1 34 67 71 01,https://www.ambleville95.com/,mairie@ville-ambleville.fr,21950011300010,1.685670,49.148498,Rue de la Mairie 95710 Ambleville,Mo-Tu 08:30-16:30; We 10:00-18:00,95011,2eb6a393-8850-44f3-9fec-bae11796dcc0,way/403527820
mairie,Mairie - Amenucourt,,Mairie d'Amenucourt,+33 1 34 79 70 02,https://mairie-amenucourt.fr/,mairie.amenucourt@wanadoo.fr,21950012100013,1.6418891,49.1063158,1 route Saint-Léger 95510 Amenucourt,We 09:00-12:00; Th 14:00-18:00,95012,26c25932-af5b-4126-b70a-c4496ecea51c,way/406205381
mairie,Mairie - Amillis,,Mairie d'Amillis,+33 1 64 04 60 26,https://www.amillis.fr/,mairieamillis@orange.fr,21770002000019,3.128554,48.740699,Rue Georges-Renard 77120 Amillis,Mo-Tu 09:00-16:00; Th 09:00-16:00; Fr 09:00-12:30,77002,5001dc7a-ff4f-4ddd-813a-466c28423eec,node/4530951134
mairie,Mairie - Amponville,,Mairie d'Amponville,+33 1 64 24 31 55,,mairie.amponville@wanadoo.fr,21770003800011,2.52869009972,48.2789001465,15 rue Grande 77760 Amponville,Mo 16:00-18:30; Th 16:30-18:30; Sa 10:30-12:00,77003,adc4cfb3-e4ac-481f-8515-68a027a93fcd,node/4798913784
mairie,Mairie - Andelu,,Mairie d'Andelu,+33 1 34 87 42 15,http://www.mairie-andelu78.fr,mairie78013@mairie-andelu78.fr,21780013500014,1.82255005836,48.8783988953,Place de la Mairie 78770 Andelu,Tu 16:00-19:00; Th 16:00-18:00; Fr-Sa 10:00-12:00,78013,d77c2578-1bb3-4a53-9ad9-07ac8ac4599e,node/7745328250
mairie,Mairie - Andilly,,Mairie d'Andilly,+33 1 34 16 46 36,https://www.ville-andilly-95.fr/,secretariat@mairie-andilly.fr,21950014700059,2.3001855,49.0054772,Hôtel de Ville  1 rue René-Cassin 95580 Andilly,"Mo-Fr 08:30-12:30,13:30-17:00; Sa 09:00-11:45",95014,51ef36cf-075c-41b2-afec-58b7199879cb,node/7973094397
mairie,Mairie - Andrezel,,Mairie d'Andrezel,+33 1 64 06 11 21,https://andrezel77.fr/,mairie.andrezel@wanadoo.fr,21770004600014,2.812767,48.611371,28 rue Martin-IV 77390 Andrezel,Mo 13:30-16:30; We 17:30-19:00; Th 13:30-16:30; Sa 10:00-12:00,77004,834808f7-0cc5-4aa2-9efc-fd6c7dfdcda1,way/198857216
mairie,Mairie - Andrésy,,Mairie d'Andrésy,+33 1 39 27 11 00,http://www.andresy.com,mairie@andresy.com,21780015000013,2.06136989594,48.9818992615,Hôtel de Ville  4 boulevard Noël-Marc 78570 Andrésy,"Mo-Fr 08:45-12:00,13:30-17:15; Sa 08:45-12:00",78015,846ef08d-f759-4383-aae4-0f712a727016,way/132581986
mairie,Mairie - Angerville,,Mairie d'Angerville,+33 1 64 95 20 14,http://www.mairie-angerville.fr,accueil@mairie-angerville.fr,21910016100013,1.9987687,48.311267,34 rue Nationale 91670 Angerville,"Mo 13:30-17:30; Tu-Fr 08:30-12:00,13:30-17:30; Sa 08:30-12:00",91016,3172533b-266a-4eb3-a860-367ae11f385c,node/3210551936
mairie,Mairie - Angervilliers,,Mairie d'Angervilliers,+33 1 64 59 02 06,http://ville-angervilliers.fr,contact@ville-angervilliers.fr,21910017900015,2.06449007988,48.5914993286,1 rue du Château 91470 Angervilliers,Mo 16:00-19:00; We 09:00-12:00; Fr 14:00-16:00; Sa 09:00-12:00,91017,64759ce7-c455-4624-a7c1-0143ef528afc,node/3484254695
mairie,Mairie - Annet-sur-Marne,,Mairie d'Annet-sur-Marne,+33 1 60 26 02 79,http://www.annetsurmarne.com,maire@annetsurmarne.fr,21770005300010,2.722219944,48.925201416,38 rue Paul-Valentin 77410 Annet-sur-Marne,"Mo-Fr 08:30-12:00,13:30-17:30; Sa 08:30-12:00",77005,bf13e150-365a-44a1-b5f5-b39ea360c316,node/4798915912
mairie,Mairie - Anse-Bertrand,,Mairie d'Anse-Bertrand,+590 5 90 89 48 48,https://www.ansebertrand.fr/,commune@mairieansebertrand.fr,21971102500011,-61.5161584,16.4709755,Le Bourg 97121 Anse-Bertrand,"Mo-Tu 08:00-13:00,14:30-17:30; We 08:00-13:30; Th 08:00-13:00,14:30-17:30; Fr 08:00-13:30",97102,29efd88b-eaac-43b6-aad2-49a4b7811c80,way/44366455
mairie,Mairie - Antony,,Mairie d'Antony,+33 1 40 96 71 00,https://www.ville-antony.fr/,,21920002900011,2.2970508,48.753512,Place de l'Hôtel-de-Ville 92160 Antony,"Mo-Fr 08:30-12:00,13:30-17:30; Sa 09:00-12:00",92002,54260182-e2ff-4a92-891e-9d43b932cae8,way/80885607
mairie,Mairie - Apatou,,Mairie d'Apatou,+594 5 94 34 91 96,https://ville-apatou.fr/,urbanisme@ville-apatou.fr,21973360700010,-54.343792,5.155913,23 avenue du Général-de-Gaulle 97317 Apatou,"Mo 07:30-12:30,14:00-17:00; Tu-We 07:30-13:30; Th 07:30-12:30,14:00-17:00; Fr 07:30-13:30",97360,738bf0fc-a3a8-4cca-b27e-3449a9a262a9,way/288987623
mairie,Mairie - Arbonne-la-Forêt,,Mairie d'Arbonne-la-Forêt,+33 1 60 66 44 16,http://arbonnelaforet.fr/,mairie.arbonnelaforet@wanadoo.fr,21770006100013,2.56537008286,48.414100647,58 rue de la Mairie 77630 Arbonne-la-Forêt,"Mo 09:00-12:00,14:00-16:30; We 09:00-12:00,14:00-16:30; Th-Fr 09:00-12:00",77006,9b65803b-4bcc-4e75-8b5e-ac0b45716df7,way/113234280
mairie,Mairie - Arcueil,,Mairie d'Arcueil,+33 1 46 15 08 80,http://www.arcueil.fr,mairie@mairie-arcueil.fr,21940003300011,2.33730006218,48.8064002991,10 avenue Paul-Doumer 94110 Arcueil,"We 09:00-12:00,13:30-17:30; Th 13:30-19:00; Mo 09:00-12:00,13:30-17:30; Tu 09:00-17:30; Fr 09:00-12:00,13:30-17:30",94003,c177c786-4474-436a-9aa7-1492d5c7627e,way/39224047
mairie,Mairie - Argenteuil,,Mairie d'Argenteuil,+33 1 34 23 41 00,https://www.argenteuil.fr/fr,,21950018800012,2.249245,48.94691,12-14 boulevard Léon-Feix 95100 Argenteuil,Mo-We 08:30-17:30; Th 11:00-17:30; Fr 08:30-17:30; Sa 08:30-12:00,95018,5e27d725-abf2-4cc1-85fb-c7da1f2999c0,way/70342326
mairie,Mairie - Argentières,,Mairie d'Argentières,+33 1 64 06 01 30,https://argentieres77.wordpress.com/,mairie-argentieres77@wanadoo.fr,21770007900015,2.86980009079,48.6547012329,Place de l'Église 77390 Argentières,"Tu-We 09:00-12:00; Th 09:00-12:00,13:30-17:30; Fr 13:30-17:30",77007,4aca9232-ec73-4db2-8adf-c67fb26faf2c,node/4798916925
mairie,Mairie - Armentières-en-Brie,,Mairie d'Armentières-en-Brie,+33 1 64 35 51 99,https://armentieres-en-brie.fr/,mairie.armentieresenbrie@orange.fr,21770008700018,3.02154994011,48.9776992798,9 rue du Chef-de-Ville 77440 Armentières-en-Brie,"Mo-Tu 09:00-12:00,16:30-18:30; We 09:00-12:00; Th-Fr 09:00-12:00,16:30-18:30",77008,88f0cd29-0b15-45fd-b698-9c58a23f2a7a,node/4798915882
mairie,Mairie - Arnouville,,Mairie d'Arnouville,+33 1 30 11 16 16,https://arnouville95.fr/,sgeneral@arnouville95.org,21950019600130,2.4202668,48.9896288,15-17 rue Robert-Schuman 95400 Arnouville,"Mo-We 08:30-12:30,13:30-17:30; Th 13:00-18:30; Fr 08:30-12:30,13:30-17:00",95019,36d78a20-3e71-483e-a07c-9a57593e3b2d,node/281720908
mairie,Mairie - Arnouville-les-Mantes,,Mairie d'Arnouville-les-Mantes,+33 1 30 42 60 17,http://www.arnouville-les-mantes.fr,mairie.arnouville.les.mantes@wanadoo.fr,21780020000016,1.731183,48.911077,8 place de l'Église 78790 Arnouville-les-Mantes,We 15:00-18:00; Fr 16:00-19:00; Sa 09:00-11:00,78020,d82bdee0-f35d-40fe-8c44-3134bcc075dd,way/217921590
mairie,Mairie - Arpajon,,Mairie d'Arpajon,+33 1 69 26 15 05,http://www.arpajon91.fr,standard@arpajon91.fr,21910021100016,2.2484735,48.5891648,70 Grande rue 91290 Arpajon,"Fr 08:45-12:30,13:30-16:45; Mo-Th 08:45-12:30,13:30-17:45",91021,fc4d7ff3-071e-43e3-ab40-c4ca9bf31c86,way/136136316
mairie,Mairie - Arrancourt,,Mairie d'Arrancourt,+33 1 69 58 80 81,,mairie@arrancourt.fr,21910022900018,2.161541,48.342037,3 place de la Mairie 91690 Arrancourt,Tu 17:00-19:00; Fr 15:00-18:00,91022,e4a2cb7c-22e0-4bba-ad27-4e192cc8714f,node/276600869
mairie,Mairie - Arronville,,Mairie d'Arronville,+33 1 34 66 51 63,http://www.arronville.fr,arronville@wanadoo.fr,21950023800015,2.10873007774,49.1861000061,12 rue de la Mairie 95810 Arronville,"Mo 09:00-12:00,14:00-16:00; Th 09:00-12:00,14:00-16:00; Sa 10:00-12:00",95023,70cc346f-1a52-4e36-b9cf-567470ceccc4,way/437305612
mairie,Mairie - Arthies,,Mairie d'Arthies,+33 1 34 67 22 26,,,21950024600018,1.788083,49.094567,Rue de la Mairie 95420 Arthies,Mo 16:00-18:30; Fr 16:00-18:00,95024,8a0feb99-660b-4606-b520-e82c0e169d5f,node/1612321668
mairie,Mairie - Arville,,Mairie d'Arville,+33 1 64 28 71 61,,arville.mairie@wanadoo.fr,21770009500011,2.5483978,48.1882185,5 rue de l'École 77890 Arville,Mo 09:00-18:00; Tu 09:00-17:00; Th 09:00-18:00; Fr 09:00-15:00,77009,c80b3cae-1bcd-4fab-b8c4-af30e5ff9db6,node/3878136792
mairie,Mairie - Asnières-sur-Oise,,Mairie d'Asnières-sur-Oise,+33 1 30 35 41 41,http://www.ville-asnieres-sur-oise.fr,mairie@aso95.fr,21950026100017,2.355899,49.133238,20 rue d'Aval-Eau 95270 Asnières-sur-Oise,"Mo 09:00-12:00; Tu-Fr 09:00-12:00,14:00-17:00",95026,fcf0898f-d8bb-4350-968a-c58c1eb2a805,node/7266748503
mairie,Mairie - Asnières-sur-Seine,,Mairie d'Asnières-sur-Seine,+33 1 41 11 12 13,https://asnieres-sur-seine.fr/,,21920004500017,2.288989,48.910692,1 place de l'Hôtel-de-Ville 92600 Asnières-sur-Seine,Mo-Fr 08:30-17:30; Sa 09:00-11:45,92004,90b3deac-b4f6-4c48-92b4-d787a265ad19,way/70784250
mairie,Mairie - Athis-Mons,,Mairie d'Athis-Mons,+33 1 69 54 54 54,https://www.mairie-athis-mons.fr/,infocom@mairie-athis-mons.fr,21910027800015,2.3892009,48.7077774,Place du Général-de-Gaulle 91200 Athis-Mons,"Mo-Tu 08:30-12:30,13:30-17:00; We 13:30-17:00; Th-Fr 08:30-12:30,13:30-17:00; Sa 08:30-12:00",91027,b710d147-2aaf-44c2-8cdc-0a8a8ea67632,node/632238616
mairie,Mairie - Attainville,,Mairie d'Attainville,+33 1 39 91 05 36,https://attainville.fr/,mairie@attainville.fr,21950028700012,2.34557008743,49.0572013855,2 rue Daniel-Renault 95570 Attainville,"Mo-Fr 08:45-11:45,14:00-17:00",95028,4a7fdcc6-e419-4063-8205-10cd16c698dd,node/3866687487
mairie,Mairie - Aubepierre-Ozouer-le-Repos,,Mairie d'Aubepierre-Ozouer-le-Repos,+33 1 64 06 92 95,https://www.aubepierre-ozouer-le-repos.org,mairie-aubepierre-ozouer@wanadoo.fr,21770010300013,2.8883129,48.6319706,15 rue de Paradis 77720 Aubepierre-Ozouer-le-Repos,Mo 09:00-12:00; Tu 13:30-17:30; We 09:00-12:00; Fr 13:30-17:30; Sa 09:00-12:00,77010,cc0c76dd-24e2-4b31-ab38-e34ff9a19647,node/4798913798
mairie,Mairie - Aubergenville,,Mairie d'Aubergenville,+33 1 30 90 45 00,http://www.aubergenville.fr,mairienet@aubergenville.fr,21780029100015,1.85555005074,48.9584999084,1 avenue de la Division-Leclerc 78410 Aubergenville Cedex,"Mo 09:00-12:00,14:00-17:00; Tu 14:00-17:00; We-Fr 09:00-12:00,14:00-17:00; Sa 09:00-12:00",78029,40035c8b-1e32-47d7-b908-52dc982494a7,way/132362403
mairie,Mairie - Aubervilliers,,Mairie d'Aubervilliers,+33 1 48 39 52 00,https://www.aubervilliers.fr/,,21930001900011,2.3817895,48.91461,2 rue de la Commune-de-Paris 93300 Aubervilliers,Mo-Fr 08:30-17:00; Sa 08:30-12:00,93001,0706933e-c71d-409e-aa72-46db29fe49d3,relation/1131762
mairie,Mairie - Auffargis,,Mairie d'Auffargis,+33 1 34 57 86 20,http://www.mairie-auffargis.com,mairie.auffargis@wanadoo.fr,21780030900015,1.89342999458,48.7164993286,Place de la Mairie 78610 Auffargis,"Mo 08:30-12:00,14:00-17:30; Tu-We 08:30-12:00; Th 08:30-12:00,14:00-17:30; Fr 08:30-12:00,14:00-16:30; Sa 09:00-12:00",78030,965b9dae-810b-458d-8829-e065a9c14dcb,node/7235630125
mairie,Mairie - Aufferville,,Mairie d'Aufferville,+33 1 64 28 70 04,https://aufferville.fr/fr/,mairie.aufferville@laposte.net,21770011100016,2.60887002945,48.2150993347,33 rue Grande 77570 Aufferville,"Mo 09:30-12:00; Tu 09:30-12:00,14:00-19:00; Th 09:30-12:00,14:00-16:30; Fr 09:30-12:00; Sa 10:00-12:00",77011,ef92c209-beb0-41f9-8e14-6bb5839cf608,node/4798913800
mairie,Mairie - Auffreville-Brasseuil,,Mairie d'Auffreville-Brasseuil,+33 1 34 77 11 68,http://www.auffreville-brasseuil.fr,mairie@auffreville-brasseuil.fr,21780031700018,1.70879995823,48.9514007568,Rue du Village 78930 Auffreville-Brasseuil,Tu 14:00-17:00; Fr 14:00-19:00,78031,c5e073ce-a853-4e5d-b47a-e85959069e7f,node/700770060
mairie,Mairie - Augers-en-Brie,,Mairie d'Augers-en-Brie,+33 1 64 01 93 17,,mairie-augers-en-brie@orange.fr,21770012900018,3.355917,48.67889,1 rue de la Mairie 77560 Augers-en-Brie,Mo 17:00-19:00; Th 17:00-19:00,77012,1b8d4fb7-d5b8-4a4b-974c-f27cf186dde9,way/115290516
mairie,Mairie - Aulnay-sous-Bois,,Mairie d'Aulnay-sous-Bois,+33 1 48 79 63 63,https://www.aulnay-sous-bois.fr/,comexterne@aulnaysousbois.com,21930005000016,2.499119,48.933379,16 boulevard Félix-Faure 93602 Aulnay-sous-Bois Cedex,"Mo 08:30-17:30; Tu 08:30-12:00,13:30-17:30; We 08:30-17:30; Th-Fr 08:30-12:30,13:30-17:30; Sa 08:30-12:30",93005,55b6b285-896f-42a0-9caa-0d651d60817f,way/141732783
mairie,Mairie - Aulnay-sur-Mauldre,,Mairie d'Aulnay-sur-Mauldre,+33 1 30 90 85 40,https://aulnaysurmauldre.com/,viepratique@aulnay-sur-mauldre.fr,21780033300015,1.84367001057,48.9290008545,16 Grande rue 78126 Aulnay-sur-Mauldre,"Mo 08:30-12:00,14:00-18:00; Tu-Th 08:30-12:00; Fr 08:30-12:00,14:00-17:00; Sa 09:30-12:00",78033,2028a60f-1b43-45ab-b090-97e659d66e92,node/623022681
mairie,Mairie - Aulnoy,,Mairie d'Aulnoy,+33 1 64 03 19 69,,mairie.aulnoy@orange.fr,21770013700011,3.095059,48.840484,Place de la Mairie 77120 Aulnoy,Tu 14:00-18:00; Th 08:45-11:30; Fr 14:00-18:00,77013,220b2ae6-3a9e-4407-8743-ada464ae4ceb,node/4798913812
mairie,Mairie - Auteuil-le-Roi,,Mairie d'Auteuil-le-Roi,+33 1 34 87 43 15,http://www.mairie-auteuil-le-roi.fr,mairie.auteuil-le-roi@mairie-auteuil-le-roi.fr,21780034100042,1.81896996498,48.8405990601,25 Grande rue 78770 Auteuil,Tu 16:00-19:00; Th-Fr 14:00-17:00; Sa 10:00-12:00,78034,30528f52-a094-46ee-bb5a-4e37a92d04ca,node/2371102157
mairie,Mairie - Authon-la-Plaine,,Mairie d'Authon-la-Plaine,+33 1 64 95 51 07,,mairiedauthonlaplaine@orange.fr,21910035100010,1.9573541,48.450967,5 place de l'Église 91410 Authon-la-Plaine,"Mo-Tu 08:30-12:30,13:30-17:30; Th 09:00-12:00,14:00-19:00; Fr 08:30-12:30,13:30-17:30; Sa 09:00-12:00",91035,4c801a34-7e09-4794-9800-939f0271dbf3,node/3499063003
mairie,Mairie - Autouillet,,Mairie d'Autouillet,+33 1 34 87 43 59,http://www.autouillet.fr,mairie.autouillet@orange.fr,21780036600015,1.80316996574,48.8503990173,33 route des Châteaux 78770 Autouillet,Tu 11:00-12:00; Th 17:00-19:00; Fr 11:00-12:00,78036,d840597b-3190-421d-88a2-5f935da8d6c2,way/399547856
mairie,Mairie - Auvernaux,,Mairie d'Auvernaux,+33 1 64 93 80 16,,mairie@auvernaux.fr,21910037700015,2.49906992912,48.5652008057,5 place de l'Église 91830 Auvernaux,"We-Th 09:00-12:30,14:00-17:30",91037,8c5dd957-3a73-46ea-a9c2-59b8b08de72b,node/3510158104
mairie,Mairie - Auvers-Saint-Georges,,Mairie d'Auvers-Saint-Georges,+33 1 60 80 34 01,https://auvers-saint-georges.fr/,mairie@auvers-saint-georges.fr,21910038500018,2.21851992607,48.4925003052,Place du Général-Leclerc 91580 Auvers-Saint-Georges,Mo-Fr 14:00-17:00; Sa 09:00-12:00,91038,8770fee9-ce99-498d-b65d-d5f16ee31fa4,node/3499065098
mairie,Mairie - Auvers-sur-Oise,,Mairie d'Auvers-sur-Oise,+33 1 30 36 70 30,http://www.ville-auverssuroise.fr,sec.gen@ville-auverssuroise.fr,21950039400016,2.171149,49.070586,17 rue du Général-de-Gaulle 95430 Auvers-sur-Oise,"Fr 08:30-12:00,13:30-17:00; Mo-We 08:30-12:00,13:30-17:00; Th 08:30-12:00,13:30-18:00",95039,d8f60a04-07d1-4c93-8e02-346fa5452b64,way/147524439
mairie,Mairie déléguée - Gadancourt,,Mairie déléguée de Gadancourt,+33 1 30 39 20 13,https://avernes95.fr,mairie@avernes95.fr,20007644600018,1.872787,49.086745,39 Grande-Rue 95450 Avernes,"Mo 11:00-12:00,16:00-18:00; Tu 16:00-18:00; Th-Fr 16:00-18:00; Sa 10:00-12:00",95040,4c693cdc-ebfe-45ea-8b94-6304931ece78,node/3180965636
mairie,Mairie - Avon,,Mairie d'Avon,+33 1 60 71 20 00,http://www.avon77.com,mairie@avon77.com,21770014500014,2.7208826,48.4049351,8 rue Père-Maurice 77210 Avon,"Mo-Fr 08:30-11:45,13:30-17:00; Sa 08:30-11:45",77014,81c13e21-1384-4792-999f-3571f5b59022,way/286908768
mairie,Mairie - Avrainville,,Mairie d'Avrainville,+33 1 64 91 30 08,http://www.avrainville.fr,mairie@avrainville.fr,21910041900064,2.2466451,48.5629245,Château du Merle-Blanc  1 rue du Parc 91630 Avrainville,Mo-Th 09:00-13:00; Fr 13:30-19:00; Sa 09:00-12:30,91041,1bb49707-af84-4a18-ac77-2e934acc05e2,way/146292068
mairie,Mairie - Awala-Yalimapo,,Mairie d'Awala-Yalimapo,+594 5 94 34 76 76,,mairie@awala-yalimapo.fr,21973361500013,-53.932405,5.691046,2765 avenue du 31-Décembre-1988  Centre administratif 97319 Awala-Yalimapo,"Mo 08:00-14:30; Fr 08:00-14:00; Tu 08:00-13:00,14:00-17:30; We 08:00-14:30; Th 08:00-13:00,14:00-17:30",97361,74f7c925-e1cd-42d5-adba-9e5599e0c365,node/431261661
mairie,Mairie - Baby,,Mairie de Baby,+33 1 64 01 80 05,https://villagedebaby.fr,mairie@villagedebaby.fr,21770015200010,3.342543,48.395719,3 rue de la Mairie 77480 Baby,We-Th 17:00-19:00,77015,ea1146e8-4464-4c46-b511-377729e20aeb,node/4798913793
mairie,Mairie - Bagneaux-sur-Loing,,Mairie de Bagneaux-sur-Loing,+33 1 64 78 51 90,https://www.bagneauxsurloing.fr/,mairie@bagneauxsurloing.fr,21770016000013,2.70526003838,48.2307014465,Place de l'Hôtel-de-Ville 77167 Bagneaux-sur-Loing,"Mo-Tu 08:30-12:00,13:30-17:30; We 08:30-12:00,14:00-17:00; Th 08:30-12:00,13:30-17:30; Fr 08:30-12:00,14:00-16:30; Sa 10:00-12:00",77016,fe80cf5a-5e44-4003-b797-f49f4ce5f1ec,way/319347388
mairie,Mairie - Bagneux,,Mairie de Bagneux,+33 1 42 31 60 00,https://www.bagneux92.fr/,contact@mairie-bagneux.fr,21920007800216,2.304355,48.798558,57 avenue Henri-Ravera 92220 Bagneux,"Mo 08:30-12:00,13:30-17:00; Tu 13:30-17:00; We-Fr 08:30-12:00,13:30-17:00",92007,9c433d99-14ea-4cd0-bb20-3b8c2b3a5cf2,way/146243811
mairie,Mairie - Bagnolet,,Mairie de Bagnolet,+33 1 49 93 60 00,http://www.ville-bagnolet.fr,mairie@ville-bagnolet.fr,21930006800018,2.416931,48.86876,1 place Salvador-Allende 93171 Bagnolet Cedex,"Fr 13:30-17:00; Mo-Th 09:00-12:00,13:30-17:00; Sa 09:00-12:30",93006,b63ca7e7-8111-4f5d-b0d3-1c80b4f7ae64,relation/11750190
