categorie,official_name,longitude,latitude,address_txt,opening_hours,insee,id
france_travail,Agence France Travail MULHOUSE DOLLER,7.325744,47.765584,BP2427  5 Rue de Quimper 68200 Mulhouse,Mo-Fr 08:30-12:30,68224,013993c0-85c2-48b6-8911-58baad91502c
france_travail,Agence France Travail ANGOULEME SAINT-MARTIAL,0.161083,45.648998,7 Rue Jean Fougerat 16000 Angoulême,Mo-Fr 08:30-12:30,16015,01f49b5c-8d9b-448b-b7fb-3e9530909ba3
france_travail,Agence France Travail Paris 11ème Beaumarchais,2.369872,48.859786,11 Rue Pelée 75011 Paris,,75056,02bb7f9c-af67-4bfa-b602-45ece0fa9cb7
france_travail,Agence France Travail BAYONNE,-1.48736,43.497104,42 Boulevard du BAB 64100 Bayonne,Mo-Fr 08:30-12:30,64102,02cce1a5-f7c1-4cd1-b67c-32403a59e3c3
france_travail,Agence France Travail Corbeil-Essonnes,2.484948,48.61198,14 Quai Jacques Bourgoin 91100 Corbeil-Essonnes,,91174,02e51199-aa9a-435d-9c97-54be15a75c4c
france_travail,Agence France Travail CHALON NORD,4.861562,46.800238,TSA 90022  19 Avenue John Fitzgerald Kennedy 71100 Chalon-sur-Saône,Mo-Fr 08:30-12:30,71076,04b3fcce-3d7a-4040-932b-dff70a98e826
france_travail,Agence France Travail ELBEUF,1.004393,49.28532,39 Rue Poussin 76500 Elbeuf,Mo-Fr 08:30-12:30,76231,05f2b733-7010-4473-8e01-ee1321f7cc19
france_travail,Agence France Travail LORMONT,-0.524018,44.881737,IMM LE SIGNAL  4 Rue Romain Rolland 33310 Lormont,Mo-Fr 08:30-12:30,33249,06683094-103e-4084-932b-72ff9ed0fc58
france_travail,Agence spécialisée France Travail Aéroportuaire Roissy CDG,2.520836,48.994048,ZONE FRET 4 ROISSY TECH  5 Rue du Cercle 95700 Roissy-en-France,,95527,066cdef9-1315-4868-9333-602abc75f010
france_travail,Agence France Travail COLMAR LACARRE,7.355828,48.087144,45 Rue de la Fecht 68000 Colmar,Mo-Fr 08:30-12:30,68066,06a1e86c-0e18-4ff5-a9f4-a9a400043178
france_travail,Agence France Travail ROUSSILLON,4.804312,45.363267,8 Rue Anatole France 38150 Roussillon,Mo-Fr 08:30-12:30,38344,06e2cd44-9960-4297-90ab-b9c6d435fd66
france_travail,Agence France Travail GISORS,1.763589,49.282935,30 Rue de Riegelsberg 27140 Gisors,Mo-Fr 08:30-12:30,27284,071eb598-d06e-41f1-811b-b19ee2f85c9f
